country_code,country_name,region,partner
DE,Germany,DE-Mitte,PartnerA
FR,France,FR-Nord,PartnerB
IT,Italy,IT-Nord,PartnerC
ES,Spain,ES-Centro,PartnerD
NL,Netherlands,NL-West,PartnerB
BE,Belgium,BE-Vlaams,PartnerB
AT,Austria,AT-Ost,PartnerA
CH,Switzerland,CH-Zentral,PartnerA
PL,Poland,PL-Center,PartnerE
CZ,Czechia,CZ-Praha,PartnerE
SK,Slovakia,SK-West,PartnerE
HU,Hungary,HU-Central,PartnerE
SE,Sweden,SE-South,PartnerF
DK,Denmark,DK-Hov,PartnerF
NO,Norway,NO-Ost,PartnerF
FI,Finland,FI-South,PartnerF
PT,Portugal,PT-Lisboa,PartnerD
IE,Ireland,IE-Dublin,PartnerB
GR,Greece,GR-Attica,PartnerC
RO,Romania,RO-Bucuresti,PartnerE
BG,Bulgaria,BG-Sofia,PartnerE
HR,Croatia,HR-Zagreb,PartnerC
SI,Slovenia,SI-Osrednja,PartnerC
