store_key,store_id_canon,store_name,country,region,partner,default_channel
1,DE-0001,SPORT2000 Hanau,DE,DE-Mitte,PartnerA,store
2,DE-0002,SPORT2000 Berlin,DE,DE-Mitte,PartnerA,store
3,DE-0003,SPORT2000 Frankfurt,DE,DE-Mitte,PartnerA,store
4,DE-0004,SPORT2000 Leipzig,DE,DE-Mitte,PartnerA,store
5,DE-0005,SPORT2000 Stuttgart,DE,DE-Mitte,PartnerA,store
6,DE-0006,SPORT2000 Hanau,DE,DE-Mitte,PartnerA,store
7,DE-0007,SPORT2000 Leipzig,DE,DE-Mitte,PartnerA,store
8,DE-0008,SPORT2000 Leipzig,DE,DE-Mitte,PartnerA,store
9,DE-0009,SPORT2000 Leipzig,DE,DE-Mitte,PartnerA,store
10,DE-0010,SPORT2000 Cologne,DE,DE-Mitte,PartnerA,store
11,DE-0011,SPORT2000 Aschaffenburg,DE,DE-Mitte,PartnerA,store
12,DE-0012,SPORT2000 Frankfurt,DE,DE-Mitte,PartnerA,store
13,DE-0013,SPORT2000 Hamburg,DE,DE-Mitte,PartnerA,store
14,DE-0014,SPORT2000 Munich,DE,DE-Mitte,PartnerA,online
15,DE-0015,SPORT2000 Hamburg,DE,DE-Mitte,PartnerA,store
16,DE-0016,SPORT2000 Stuttgart,DE,DE-Mitte,PartnerA,store
17,DE-0017,SPORT2000 Hamburg,DE,DE-Mitte,PartnerA,store
18,DE-0018,SPORT2000 Aschaffenburg,DE,DE-Mitte,PartnerA,store
19,DE-0019,SPORT2000 Leipzig,DE,DE-Mitte,PartnerA,store
20,DE-0020,SPORT2000 Stuttgart,DE,DE-Mitte,PartnerA,store
21,DE-0021,SPORT2000 Berlin,DE,DE-Mitte,PartnerA,outlet
22,DE-0022,SPORT2000 Dresden,DE,DE-Mitte,PartnerA,outlet
23,DE-0023,SPORT2000 Hamburg,DE,DE-Mitte,PartnerA,store
24,DE-0024,SPORT2000 Hanau,DE,DE-Mitte,PartnerA,store
25,DE-0025,SPORT2000 Munich,DE,DE-Mitte,PartnerA,store
26,FR_026,SPORT2000 Lyon,FR,FR-Nord,PartnerB,outlet
27,FR_027,SPORT2000 Lyon,FR,FR-Nord,PartnerB,store
28,FR_028,SPORT2000 Strasbourg,FR,FR-Nord,PartnerB,store
29,FR_029,SPORT2000 Nantes,FR,FR-Nord,PartnerB,store
30,FR_030,SPORT2000 Nantes,FR,FR-Nord,PartnerB,store
31,FR_031,SPORT2000 Lille,FR,FR-Nord,PartnerB,store
32,FR_032,SPORT2000 Lyon,FR,FR-Nord,PartnerB,store
33,FR_033,SPORT2000 Marseille,FR,FR-Nord,PartnerB,store
34,FR_034,SPORT2000 Toulouse,FR,FR-Nord,PartnerB,store
35,FR_035,SPORT2000 Bordeaux,FR,FR-Nord,PartnerB,store
36,FR_036,SPORT2000 Nice,FR,FR-Nord,PartnerB,store
37,FR_037,SPORT2000 Nantes,FR,FR-Nord,PartnerB,outlet
38,FR_038,SPORT2000 Paris,FR,FR-Nord,PartnerB,store
39,FR_039,SPORT2000 Paris,FR,FR-Nord,PartnerB,outlet
40,FR_040,SPORT2000 Bordeaux,FR,FR-Nord,PartnerB,store
41,FR_041,SPORT2000 Toulouse,FR,FR-Nord,PartnerB,online
42,FR_042,SPORT2000 Rennes,FR,FR-Nord,PartnerB,outlet
43,FR_043,SPORT2000 Nantes,FR,FR-Nord,PartnerB,store
